Unnamed: 0,1H,1KH,1RH,2AH,2AKH,2ARH,2BH,2BKH,2BRH,3AH,3AKH,3ARH,3BH,3BKH,3BRH,GMH,GMKH,GMRH,SCH,SCKH,SCRH,STH,STKH,STRH
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14000,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25816,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,35303,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,14176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,01660,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23930,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12972,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,91388,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,26060,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36182,--,--
GG BSC NURSINGOVT,--,--,--,28526,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26880,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,42178,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,135476,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1848,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2391,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,15604,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,31284,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,3671,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,38938,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90033,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,134276,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1717,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,83790,--,--,13941,--,--,--,--,--,--,--,--,--,--,--,69538,--,--,113876,--,--,08864,--,--
GG BSC NURSINGOVT,--,--,--,15352,--,--,--,--,--,--,--,145083,--,--,06018,0352,--,--,104242,--,--,33186,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,99709,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,130825,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,134638,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,26367,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,36497,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,29360,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,13991,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22087,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,17015,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,75732,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37757,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,2187,--,10435,--,--,--,--,--,--,--,2776,91739,--,05269,04072,--,--,93355,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36370,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13446,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,86126,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40299,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12035,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40911,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38497,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,15423,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,36611,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40439,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,2604,--,1364,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,133922,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,14297,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,12700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3569,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3529,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,43585,--,--,--,--,--,--,--,--,--,--,--,4029,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1641,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40303,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,127874,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4068,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,45930,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,01178,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25543,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15745,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,58437,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,48052,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,6077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,42513,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,16161,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,24281,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,51133,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11624,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,135979,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33036,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31633,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,48721,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14429,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12508,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17247,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30815,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,19238,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37927,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,89373,--,--,--,--,--,86424,--,--,--,--,--,--,--,--,82698,--,--,10669,--,--,85318,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46426,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,55230,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33859,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43504,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46420,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32667,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44559,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47965,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,16109,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47989,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26549,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44275,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26232,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28032,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,15872,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42892,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4983,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,153006,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34710,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,12368,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,151649,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51772,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42156,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,153980,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59779,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,16720,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34043,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,58673,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38038,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54375,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6230,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64153,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35731,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,56887,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6283,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,64774,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26736,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46488,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6483,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,52624,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15458,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43949,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,42695,--,--,--,--,--,52652,--,--,39700,--,--,34873,--,--,49479,--,63457,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14016,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,64881,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44675,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60875,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5673,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5873,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65914,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37602,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68595,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3305,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,15614,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,65880,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59421,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14835,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53698,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61945,--,--,--
GG BSC NURSINGOVT,--,--,--,95502,--,--,--,--,--,--,--,--,98294,--,--,94044,01690,04148,12487,--,--,26223,--,--
GG BSC NURSINGOVT,--,--,--,15297,--,--,--,--,--,--,--,--,09488,--,--,98686,--,--,--,15807,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,136819,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,162748,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,157786,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,153272,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,66641,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,67928,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65708,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,157811,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,157739,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7528
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3274,--,--,--,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2201,--,--,--,--,--,--,--,--
